PrefijoCodigo,Valor_En_Comun,,,
10,Union Plana nt,,,
119,Fijo o Batiente NT,,,
12,s/xxxx,,,
15,Angular,,,
2002,Panel,,,
2007,Zaranda Liviana,,,
2008,Zaranda Standard ,,,
203,Celosia nt,,,
2055,Union Plana nt,,,
2136,Fijo pw,,,
2140,Liso,,,
2142,Junquillo Mediano,,,
2143,Junquillo Ancho,,,
215,Pletina,,,
218,Fijo Liviano ,,,
219,Fijo o Batiente nt,,,
22,Proyectante 3831 ml,,,
24,Tubo,,,
25,Canal o Angular,,,
28,Pasamanos,,,
303,Celosia nt,,,
305,Union Plana nt,,,
32,Proyectante 3831 ml,,,
336,vc-2000,,,
3390,vc-1500,,,
3396,Reticula nt,,,
35,Canal u o Angular,,,
41,Fijo,,,
42,Batiente,proyectante 3831 ml,,
433,Jamba,,,
436,Riel,vc-2000,,
437,vc-xxxx,,,
439,Reticula nt,,,
442,Tubo,,,
44602,Cerco,todos tienen 20 de medida,,
44604,Hoja,,,
44605,Hoja,,,
44610,Adaptador,,,
45,Canal u o Angular,,,
53,Felpa ne,,,
600,Zaranad,,,
605,Union Plana nt,,,
613,Fijo pw,,,
618,Fijo Liviano ,,,
619,Fijo o Batiente nt,,,
62-5,Cierre,,,
62-94,Rodo,,,
620,Proyectante 3831 ml,,,
64,Tubo,,,
65,Canal y o Angular,,,
700,Zaranda,,,
705,Union Plana nt,,,
736,vc-2000,,,
7390,Marco,,,
7396,Reticula nt,,,
75,Canal u o Angular,,,
ep,Empaque,,,
mp,Jaladera,,,
