"","FECHA","TIENDA","CODPROD","DESCRIPCION","MEDIDA","UNI","VENTA","PRECIOUNITARIO","ACABADO","dia"
"1",2018-10-01,"Z12 TIENDA ZONA 12","01502","ANGULAR 2 x 2 x 1/8","21",1,169.64,169.64,"MF","lun\."
"2",2018-10-01,"Z12 TIENDA ZONA 12","02195","BATIENTE LIVIANO NT","21",7,334.77,47.8242857142857,"AN","lun\."
"3",2018-10-01,"Z12 TIENDA ZONA 12","02343","JAMBA HOJA BA<d1>O ESTANDAR","21",1,100,100,"AN","lun\."
"4",2018-10-01,"Z12 TIENDA ZONA 12","02365","RIEL INFERIOR VC-2000","21",4,398.68,99.67,"AN","lun\."
"5",2018-10-01,"Z12 TIENDA ZONA 12","02366","JAMBA HOJA VC-2000","21",14,1189.01,84.9292857142857,"AN","lun\."
"6",2018-10-01,"Z12 TIENDA ZONA 12","02340","JAMBA MARCO BA<d1>O ESTANDAR","21",1,113.04,113.04,"AN","lun\."
"7",2018-10-01,"Z12 TIENDA ZONA 12","02055","UNION  PLANA NT","10.5",8,168.57,21.07125,"AN","lun\."
"8",2018-10-01,"Z12 TIENDA ZONA 12","02189","FIJO CON VENA LIVIANO","21",2,151.61,75.805,"AN","lun\."
"9",2018-10-01,"Z12 TIENDA ZONA 12","02191","FIJO SIN VENA LIVIANO","21",2,127.97,63.985,"AN","lun\."
"10",2018-10-01,"Z12 TIENDA ZONA 12","02400","TUBO 1 x 1 x 0.045","21",7,431.25,61.6071428571429,"AN","lun\."
"11",2018-10-01,"Z12 TIENDA ZONA 12","02421","TUBO 1-3/4 x 1 x 0.046","21",42,3962.14,94.3366666666667,"AN","lun\."
"12",2018-10-01,"Z12 TIENDA ZONA 12","02423","TUBO 3 x 1-3/4 x 0.070","21",9,2248.39,249.821111111111,"AN","lun\."
"13",2018-10-01,"Z12 TIENDA ZONA 12","02438","TUBO VITRINA 1","21",2,120.36,60.18,"AN","lun\."
"14",2018-10-01,"Z12 TIENDA ZONA 12","02505","CANAL U 1/2 x 1/2 x 0.045","21",5,111.61,22.322,"AN","lun\."
"15",2018-10-01,"Z12 TIENDA ZONA 12","02367","RIEL SUPERIOR VC-2000","21",15,1930.39,128.692666666667,"AN","lun\."
"16",2018-10-01,"Z12 TIENDA ZONA 12","02368","ADAPTADOR 2 RIEL VC-2000","19",1,45.71,45.71,"AN","lun\."
"17",2018-10-01,"Z12 TIENDA ZONA 12","02369","JAMBA INTERMEDIA VC-2000","21",5,548.27,109.654,"AN","lun\."
"18",2018-10-01,"Z12 TIENDA ZONA 12","02390","MARCO SUP/INF HOJA VC-1500","21",8,617.86,77.2325,"AN","lun\."
"19",2018-10-01,"Z12 TIENDA ZONA 12","02393","RIEL INFERIOR VC-1500","21",2,153.73,76.865,"AN","lun\."
"20",2018-10-01,"Z12 TIENDA ZONA 12","02394","RS/JAMBA MACRCO VC-1500","21",8,1012.14,126.5175,"AN","lun\."
"21",2018-10-01,"Z12 TIENDA ZONA 12","02395","MARCO LATERIAL VC-1500","21",2,102.86,51.43,"AN","lun\."
"22",2018-10-01,"Z12 TIENDA ZONA 12","02396","RETICULA NT","21",6,117.86,19.6433333333333,"AN","lun\."
"23",2018-10-01,"Z12 TIENDA ZONA 12","03423","TUBO 3 x 1-3/4 x 0.070","21",7,2042.5,291.785714285714,"BR","lun\."
"24",2018-10-01,"Z12 TIENDA ZONA 12","03036","SILLAR DE CELOSIA NT","21",1,76.16,76.16,"BR","lun\."
"25",2018-10-01,"Z12 TIENDA ZONA 12","03038","CABEZAL DE CESOLIA NT","21",1,81.88,81.88,"BR","lun\."
"26",2018-10-01,"Z12 TIENDA ZONA 12","03367","RIEL SUPERIOR VC-2000","21",2,306.79,153.395,"BR","lun\."
"27",2018-10-01,"Z12 TIENDA ZONA 12","03505","CANAL U 1/2 x 1/2 x 0.045","21",15,399.11,26.6073333333333,"BR","lun\."
"28",2018-10-01,"Z12 TIENDA ZONA 12","04505","CANAL U 1/2 x 1/2 x 0.045","21",2,58.57,29.285,"NE","lun\."
"29",2018-10-01,"Z12 TIENDA ZONA 12","04206","MARCO FIJO PROY. 3831 ML","21",1,82.14,82.14,"NE","lun\."
"30",2018-10-01,"Z12 TIENDA ZONA 12","04421","TUBO 1-3/4  x 1 x 0.046","21",1,115.71,115.71,"NE","lun\."
"31",2018-10-01,"Z12 TIENDA ZONA 12","06007","ZARANDA LIVIANA","21",3,88.93,29.6433333333333,"BL","lun\."
"32",2018-10-01,"Z12 TIENDA ZONA 12","06205","BATIENTE PROYEC. 3831 ML TRIANGULAR","21",4,185.71,46.4275,"BL","lun\."
"33",2018-10-01,"Z12 TIENDA ZONA 12","06206","MARCO FIJO PROYEC. 3831 ML","21",4,342.86,85.715,"BL","lun\."
"34",2018-10-01,"Z12 TIENDA ZONA 12","06327","JAMBA MARCO POCKET","21",1,121.79,121.79,"BL","lun\."
"35",2018-10-01,"Z12 TIENDA ZONA 12","06330","JAMBA HOJA CORREDIZA","21",1,192.77,192.77,"BL","lun\."
"36",2018-10-01,"Z12 TIENDA ZONA 12","06393","RIEL INFERIOR VC-1500","21",1,88.82,88.82,"BL","lun\."
"37",2018-10-01,"Z12 TIENDA ZONA 12","06394","RS/JAMBA  MARCO VC-1500","21",4,584.29,146.0725,"BL","lun\."
"38",2018-10-01,"Z12 TIENDA ZONA 12","06395","MARCO LATERAL VC-1500","21",3,177.32,59.1066666666667,"BL","lun\."
"39",2018-10-01,"Z12 TIENDA ZONA 12","06517","ANGULAR 1/2 x 3/8 x 1/16","21",4,86.79,21.6975,"BL","lun\."
"40",2018-10-01,"Z12 TIENDA ZONA 12","06366","JAMBA HOJA VC-2000","21",4,390.79,97.6975,"BL","lun\."
"41",2018-10-01,"Z12 TIENDA ZONA 12","06336","RIEL INFERIOR POCKET CORREDIZA","21",1,119.11,119.11,"BL","lun\."
"42",2018-10-01,"Z12 TIENDA ZONA 12","06337","RIEL SUPERIOR POCKET CORREDIZA","21",1,175.92,175.92,"BL","lun\."
